GDP per capita,Electoral votes 2000,Electoral votes 2010,House seats 2000,House seats 2010,Human Development Index 2010,Land Area  (sq miles),Number of Records,Order,Pop 2000,Pop 2010,Real GDP 2010,Real GDP 2011,Real GDP 2012,Real GDP 2013,Region,State,Total area (sq miles),Water Area (sq miles)
0.050334933,22,20,19,18,5.31,55518.93,1,27,12419293,12830632,645829,656145,665613,671407,       East North Central,Illinois,57913.55,2394.62
0.043247465,12,11,9,9,4.56,35826.11,1,30,6080485,6483802,280408,281171,288261,294212,       East North Central,Indiana,36419.55,593.44
0.039032077,18,16,15,14,4.76,56538.9,1,29,9938444,9883640,385779,394201,400232,408218,       East North Central,Michigan,96713.51,40174.61
0.042348791,21,18,18,16,4.71,40860.69,1,28,11353140,11536504,488557,501335,517064,526196,       East North Central,Ohio,44825.58,3964.89
0.044451314,11,10,8,8,5.16,54157.8,1,31,5363675,5686986,252794,257146,259766,264126,       East North Central,Wisconsin,65496.38,11338.57
0.036194049,9,9,7,7,4.04,50645.33,1,20,4447100,4779736,172998,175159,179312,180727,       East South Central,Alabama,52420.07,1774.74
0.037809201,8,8,6,6,4.02,39486.34,1,21,4041769,4339367,164068,166681,168022,170667,       East South Central,Kentucky,40407.8,921.46
0.031350755,7,6,4,4,3.81,46923.27,1,22,2844658,2967297,93027,92267,95474,96979,       East South Central,Mississippi,48431.78,1508.51
0.039714912,11,11,9,9,4.22,41234.9,1,19,5689283,6346105,252035,258988,267554,269602,       East South Central,Tennessee,42144.25,909.36
0.056098606,15,14,13,12,6.12,7354.22,1,9,8414350,8791894,493213,490653,503497,509067,       Mid-Atlantic,New Jersey,8722.58,1368.36
0.061040911,33,29,29,27,5.66,47126.4,1,7,18976457,19378102,1182857,1197378,1217512,1226619,       Mid-Atlantic,New York,54554.98,7428.58
0.046008075,23,20,19,18,5.07,44742.7,1,8,12281054,12702379,584412,592630,599523,603872,       Mid-Atlantic,Pennsylvania,46054.35,1311.64
0.038334066,8,11,8,9,4.89,113594.08,1,39,5130632,6392017,245032,251462,259043,261924,       Mountain,Arizona,113990.3,396.22
0.050114372,8,9,7,7,5.53,103641.89,1,40,4301261,5029196,252035,255866,263593,273721,       Mountain,Colorado,104093.67,451.78
0.034895782,4,4,2,2,4.5,82643.12,1,44,1293953,1567582,54702,54781,54792,57029,       Mountain,Idaho,83568.95,925.83
0.036967299,3,3,1,1,4.54,145545.8,1,45,902195,989415,36576,37778,38692,39846,       Mountain,Montana,147039.71,1493.91
0.044154693,4,6,3,4,4.63,109781.18,1,42,1998257,2700551,119242,120217,122698,123903,       Mountain,Nevada,110571.82,790.65
0.039422993,5,5,3,3,4.52,121298.15,1,43,1819046,2059179,81179,82096,83057,84310,       Mountain,New Mexico,121590.3,292.15
0.042245245,5,6,3,4,5.03,82169.62,1,41,2233169,2763885,116761,120211,126193,131017,       Mountain,Utah,84896.88,2727.26
0.066341865,3,3,1,1,4.83,97093.14,1,46,493782,563626,37392,37802,36755,39538,       Mountain,Wyoming,97813.01,719.87
0.064811615,8,7,5,5,6.17,4842.36,1,2,3405565,3574097,231643,229513,231809,233996,       New England,Connecticut,5543.41,701.06
0.038351773,4,4,2,2,4.93,30842.92,1,3,1274923,1328361,50945,50407,50707,51163,       New England,Maine,35379.74,4536.82
0.060498541,12,11,10,9,6.16,7800.06,1,1,6349097,6547629,396122,404929,414144,420748,       New England,Massachusetts,10554.39,2754.33
0.047237689,4,4,2,2,5.73,8952.65,1,4,1235786,1316470,62187,62872,63538,64118,       New England,New Hampshire,9349.16,396.51
0.046285890,4,4,2,2,5.38,1033.81,1,5,1048319,1052567,48719,48649,49262,49962,       New England,Rhode Island,1544.89,511.07
0.042108476,3,3,1,1,5.31,9216.66,1,6,608827,625741,26349,26924,27207,27723,       New England,Vermont,9616.36,399.71
0.069024022,3,3,1,1,5.06,570640.95,1,51,626932,710231,49023,51100,52870,51542,       Pacific,Alaska,665384.04,94743.1
0.051657279,54,55,53,53,5.4,155779.22,1,47,33871648,37253956,1924438,1957114,2009936,2050693,       Pacific,California,163694.74,7915.52
0.048836250,4,4,2,2,5.53,6422.63,1,50,1211537,1360301,66432,67660,68825,70110,       Pacific,Hawaii,10931.72,4509.09
0.049629947,7,7,5,5,4.86,95988.01,1,49,3421399,3831074,190136,197832,205723,211241,       Pacific,Oregon,98378.54,2390.53
0.052999610,11,12,9,10,5.4,66455.52,1,48,5894121,6724540,356398,358869,371156,381017,       Pacific,Washington,71297.95,4842.43
0.063127134,3,3,1,1,5.22,1948.54,1,17,783600,897934,56684,56789,57129,58028,       South Atlantic,Delaware,2488.72,540.18
,3,3,,,6.08,61.05,1,18,572059,601723,,,,,       South Atlantic,District of Columbia,68.34,7.29
0.038348764,25,29,25,27,4.82,53624.76,1,10,15982378,18801310,721007,718174,734274,750511,       South Atlantic,Florida,65757.7,12132.94
0.042011414,13,16,13,14,4.62,57513.49,1,11,8186453,9687653,406992,410811,416927,424606,       South Atlantic,Georgia,59425.15,1911.66
0.054215499,10,10,8,8,5.94,9707.24,1,14,5296486,5773552,313016,318242,322188,322234,       South Atlantic,Maryland,12405.93,2698.69
0.043885873,14,15,13,13,4.57,48617.91,1,12,8049313,9535483,418473,419683,429707,439672,       South Atlantic,North Carolina,53819.16,5201.25
0.035157449,8,9,6,7,4.35,30060.7,1,15,4012012,4625364,162616,167704,170212,172176,       South Atlantic,South Carolina,32020.49,1959.79
0.052240563,13,13,11,11,5.47,39490.09,1,13,7078515,8001024,417978,420802,426133,426423,       South Atlantic,Virginia,42774.93,3284.84
0.034837134,5,5,3,3,3.95,24038.21,1,16,1808344,1852994,64553,66138,65221,68541,       South Atlantic,West Virginia,24230.04,191.83
0.046111829,7,6,5,4,5.03,55857.13,1,34,2926324,3046355,140473,142760,146336,150512,       West North Central,Iowa,56272.81,415.68
0.043643831,6,6,4,4,4.96,81758.72,1,35,2688418,2853118,124521,129243,129726,132153,       West North Central,Kansas,82278.36,519.64
0.050706034,10,10,8,8,5.69,79626.74,1,33,4919479,5303925,268941,275663,281284,289125,       West North Central,Minnesota,86935.83,7309.09
0.042661398,11,10,9,8,4.6,68741.52,1,32,5595211,5988927,255496,253146,256183,258135,       West North Central,Missouri,69706.99,965.47
0.049209321,5,5,3,3,5.11,76824.17,1,36,1711263,1826341,89873,93267,95349,98250,       West North Central,Nebraska,77347.81,523.64
0.051389329,3,3,1,1,4.9,69000.8,1,38,642200,672591,34564,37735,45385,49772,       West North Central,North Dakota,70698.32,1697.52
0.046623597,3,3,1,1,4.79,75811,1,37,754844,814180,37960,39804,39906,41142,       West North Central,South Dakota,77115.68,1304.68
0.037746260,6,6,4,4,3.91,52035.48,1,26,2673400,2915918,110065,111829,113056,115745,       West South Central,Arkansas,53178.55,1143.07
0.048709658,9,8,7,6,4.12,43203.9,1,24,4468976,4533372,220819,214705,219209,222008,       West South Central,Louisiana,52378.13,9174.23
0.039462583,8,7,5,5,4.14,68594.92,1,25,3450654,3751351,148038,153104,157737,164303,       West South Central,Oklahoma,69898.87,1303.95
0.047801359,32,38,32,36,4.65,261231.71,1,23,20851820,25145561,1201992,1252007,1338578,1387598,       West South Central,Texas,268596.46,7364.75
,,,,,,76.46,1,55,57291,55519,,,,,Territories,American Samoa,581.05,504.6
,,,,,,209.8,1,53,154805,159358,,,,,Territories,Guam,570.62,360.82
,,,,,,182.33,1,56,69221,53883,,,,,Territories,Northern Mariana Islands,1975.57,1793.24
,,,,,,3423.78,1,52,3808610,3725789,,,,,Territories,Puerto Rico,5324.84,1901.07
,,,,,,134.32,1,54,108612,106405,,,,,Territories,U.S. Virgin Islands,732.93,598.61
